WV2.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:inversor2.tr0,v(0),,,V,
D0:inversor2.tr0,v(a),,,V,
D0:inversor2.tr0,v(b),,,V,
D0:inversor2.tr0,v(vdd),,,V,
D0:inversor2.tr0,i(v1),,,A,
D0:inversor2.tr0,i(v2),,,A,
,
Signal->v(0),
X-axis,Value,
0,0,
1p,0,
2p,0,
3.3058p,0,
6.9154p,0,
8.0034p,0,
8.8737p,0,
11.659p,0,
12.883p,0,
14.107p,0,
15.034p,0,
15.706p,0,
17.623p,0,
18.811p,0,
20p,0,
20.056p,0,
20.18p,0,
20.58p,0,
21.276p,0,
23.504p,0,
27.712p,0,
31.157p,0,
31.987p,0,
32.65p,0,
34.773p,0,
35.686p,0,
36.6p,0,
37.877p,0,
38.899p,0,
42.169p,0,
43.569p,0,
44.969p,0,
47.473p,0,
50.526p,0,
53.782p,0,
57.478p,0,
61.761p,0,
66.92p,0,
73.136p,0,
81.235p,0,
91.816p,0,
108.11p,0,
133.73p,0,
173.73p,0,
213.73p,0,
253.73p,0,
293.73p,0,
333.73p,0,
373.73p,0,
413.73p,0,
420p,0,
420.1p,0,
420.3p,0,
420.95p,0,
422.1p,0,
424.91p,0,
427.58p,0,
430.92p,0,
432.55p,0,
433.85p,0,
434.76p,0,
435.48p,0,
437.81p,0,
438.91p,0,
440p,0,
440.09p,0,
440.21p,0,
440.59p,0,
441.23p,0,
443.28p,0,
448.55p,0,
456.06p,0,
461.85p,0,
464.2p,0,
466.56p,0,
468.52p,0,
470.48p,0,
472.41p,0,
474.35p,0,
477.04p,0,
481.23p,0,
485.5p,0,
490.23p,0,
495.81p,0,
501.91p,0,
508.59p,0,
515.96p,0,
524.03p,0,
533.06p,0,
543.01p,0,
554.29p,0,
567.19p,0,
582.19p,0,
600.21p,0,
623.45p,0,
655.18p,0,
695.18p,0,
735.18p,0,
775.18p,0,
800p,0,
,
Signal->v(a),
X-axis,Value,
0,0,
1p,90m,
2p,180m,
3.3058p,297.52m,
6.9154p,622.39m,
8.0034p,720.3m,
8.8737p,798.64m,
11.659p,1.0493,
12.883p,1.1595,
14.107p,1.2697,
15.034p,1.353,
15.706p,1.4136,
17.623p,1.5861,
18.811p,1.693,
20p,1.8,
20.056p,1.8,
20.18p,1.8,
20.58p,1.8,
21.276p,1.8,
23.504p,1.8,
27.712p,1.8,
31.157p,1.8,
31.987p,1.8,
32.65p,1.8,
34.773p,1.8,
35.686p,1.8,
36.6p,1.8,
37.877p,1.8,
38.899p,1.8,
42.169p,1.8,
43.569p,1.8,
44.969p,1.8,
47.473p,1.8,
